canonical_name,display_name,slug,longitude,latitude,site_type,country_code,short_description,source
Xpuhil,Xpuhil,xpuhil,-89.40598832544731,18.50985308261535,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
San Diego Buenavista,San Diego Buenavista,san-diego-buenavista,-89.29505038420213,19.86070207747969,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Sisila,Sisila,sisila,-89.88946968384793,20.23180921776517,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Xkalumkin,Xkalumkin,xkalumkin,-89.96101764951786,20.16087243199076,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Nohpat,Nohpat,nohpat,-89.70443923316641,20.3157550858714,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Chacmultún,Chacmultún,chacmultún,-89.35534109260666,20.18145117775016,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Kiuic,Kiuic,kiuic,-89.56110400866278,20.11014077080863,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Sayil,Sayil,sayil,-89.65248048857404,20.17914898815204,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Kabah,Kabah,kabah,-89.64760428665319,20.24888584228067,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Huntochac,Huntochac,huntochac,-89.76379134203113,20.28867012518226,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Xlapak,Xlapak,xlapak,-89.4787956186404,20.16245007650829,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Yaxhom,Yaxhom,yaxhom,-89.49336775153964,20.25250962459852,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Labná,Labná,labná,-89.57902681365911,20.17336055830953,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Kichmook,Kichmook,kichmook,-89.73341767318168,20.0293490403529,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Mayapán,Mayapán,mayapán,-89.46091843783296,20.62928709998204,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Yaxuná,Yaxuná,yaxuná,-88.66254107794576,20.54159680221471,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Xkipché,Xkipché,xkipché,-89.82853055555556,20.29976944444444,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Acanceh,Acanceh,acanceh,-89.45246030687969,20.8130875764959,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Monte Albán,Monte Albán,monte-albán,-96.7683414016419,17.0437847262309,archaeological_site,,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Tierras Largas,Tierras Largas,tierras-largas,-96.78412265967489,17.07875743974185,archaeological_site,,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Chichén Itzá,Chichén Itzá,chichén-itzá,-88.56861111111111,20.68416666666667,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Copán,Copán,copán,-89.14653859384435,14.83929720060301,archaeological_site,HN,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Caracol,Caracol,caracol,-89.11911002971826,16.76401419875216,archaeological_site,BZ,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
