left_slug,left_name,left_source,left_longitude,left_latitude,right_slug,right_name,right_source,right_longitude,right_latitude,name_similarity,longitude_delta,latitude_delta,reason
acanceh,Acanceh,Wikidata,-89.452222222,20.813333333,zona-arqueológica-de-acanceh,Zona arqueológica de Acanceh,OpenStreetMap,-89.452387,20.810615,1.000,0.000165,0.002718,high_similarity_near_match
acrópolis-conjunto-cobá,Acrópolis-Conjunto Cobá,OpenStreetMap,-87.7318707,20.4896916,coba,Coba,Wikidata,-87.7251,20.4898,0.296,0.006771,0.000108,name_family_near_match
actun-tunichil-muknal,Actun Tunichil Muknal,Wikidata,-88.862352544,17.114128567,actun-tunichil-muknal-natural-monument,Actun Tunichil Muknal Natural Monument,OpenStreetMap,-88.8574042,17.1202032,1.000,0.004948,0.006075,high_similarity_near_match
aguada-fénix,Aguada Fénix,Wikidata,-91.15,17.8,sitio-arqueológico-aguada-fénix,Sitio Arqueológico Aguada Fénix,OpenStreetMap,-91.1411083,17.805317,1.000,0.008892,0.005317,high_similarity_near_match
aguada-fénix,Aguada Fénix,Wikidata,-91.15,17.8,zona-arqueológica-aguada-fénix,Zona Arqueológica Aguada Fénix,OpenStreetMap,-91.1477306,17.8037947,1.000,0.002269,0.003795,high_similarity_near_match
ake,Ake,Wikidata,-89.300277777,20.947222222,zona-arqueológica-de-aké,Zona arqueológica de Aké,OpenStreetMap,-89.3003831,20.9467213,1.000,0.000105,0.000501,high_similarity_near_match
altar-de-los-sacrificios,Altar de los Sacrificios,OpenStreetMap,-90.5295385,16.4794188,altar-de-sacrificios,Altar de Sacrificios,Wikidata,-90.533,16.467,1.000,0.003462,0.012419,high_similarity_near_match
balamku,Balamku,Wikidata,-89.94436111,18.56019444,zona-arqueológica-de-balamkú,Zona arqueológica de Balamkú,OpenStreetMap,-89.9449412,18.5576192,1.000,0.000580,0.002575,high_similarity_near_match
bonampak,Bonampak,Wikidata,-91.065,16.704,zona-arqueológica-de-bonampak,Zona arqueológica de Bonampak,OpenStreetMap,-91.0635678,16.7031281,1.000,0.001432,0.000872,high_similarity_near_match
cahal-pech,Cahal Pech,Wikidata,-89.061111111,17.155555555,cahal-pech-archaeological-reserve,Cahal Pech Archaeological Reserve,OpenStreetMap,-89.0738578,17.1454465,1.000,0.012747,0.010109,high_similarity_near_match
calakmul,Calakmul,Wikidata,-89.810555555,18.105,zona-arqueológica-calakmul,Zona Arqueológica Calakmul,OpenStreetMap,-89.8065528,18.108473,1.000,0.004003,0.003473,high_similarity_near_match
cara-sucia,Cara Sucia,Wikidata,-90.03583333,13.77916667,sitio-arqueologico-de-cara-sucia,Sitio Arqueologico de Cara Sucia,OpenStreetMap,-90.0477301,13.7770938,1.000,0.011897,0.002073,high_similarity_near_match
chacchoben,Chacchoben,Wikidata,-88.2325,19.00083333,zona-arqueológica-de-chacchoben,Zona arqueológica de Chacchoben,OpenStreetMap,-88.2318485,19.0014402,1.000,0.000652,0.000607,high_similarity_near_match
chacmultun,Chacmultun,Wikidata,-89.34494444,20.17266667,zona-arqueológica-de-chacmultún,Zona arqueológica de Chacmultún,OpenStreetMap,-89.3421076,20.1712,1.000,0.002837,0.001467,high_similarity_near_match
chicanná,Chicanná,Wikidata,-89.48633333,18.50691667,zona-arqueológica-de-chicanná,Zona arqueológica de Chicanná,OpenStreetMap,-89.4867584,18.5078611,1.000,0.000425,0.000944,high_similarity_near_match
chichen-itza,Chichen Itza,Wikidata,-88.568611111,20.683055555,chichen-itzá,Chichen Itzá,OpenStreetMap,-88.5691327,20.683172,1.000,0.000522,0.000116,high_similarity_near_match
chinkultic,Chinkultic,Wikidata,-91.785,16.129,zona-arqueológica-de-chinkultic,Zona arqueológica de Chinkultic,OpenStreetMap,-91.7838471,16.1262728,1.000,0.001153,0.002727,high_similarity_near_match
